OfferDetails,Products
"on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)","['benadryl® 20ct', '4oz product']"
"ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).","['discreet incontinence product', 'discreet boutique']"
"ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).","['laundry detergent', 'era laundry detergent', 'tide detergent', 'tide pods']"
"any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips","['’ s chocolate', 'chocolate candy']"
ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,['venus products']
when you buy ONE PACKAGE any flavor/variety Cascadian Farm™ Cereal or Granola,['flavor/variety cascadian farm™ cereal']
on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,['crunchy crunchmaster® crackers']
ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,[]
on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,"['multipack sheba®', 'perfect portions™ premium cat food']"
on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),['aleve®pm product 40ct']
ONE Gillette Blade Refill (4 ct or larger).,['gillette blade refill']
"on ONE (1) Sparkling Ice® 12 pack, any variety",[]
ONE Prilosec OTC Product.,['prilosec otc product']
ONE Olay Facial Cleanser (excludes trial/travel size).,['olay facial cleanser']
any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,"['happy baby organics', 'happy tot organics pouches']"
on any ONE (1) 1850® Ready to Drink product,['drink product']
"ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).","['crest gum detoxify', 'enamel repair']"
"ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).","['oral-b glide', 'manual floss', 'interdental brush']"
off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),['pull-ups® training pants']
ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,"['dreft newborn laundry detergent', 'active baby laundry detergent', 'pure gentleness laundry detergent']"
"on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product","['allegra® allergy 24ct', ""children 's allegra® product""]"
"when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",['adult zyrtec® product']
"ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",['olay facial moisturizer']
"ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).","['gillette razor', 'venus products']"
ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,"['dreft blissfuls', 'scent boosters']"
ONE (1) Nexium® 24HR 28ct or larger,['nexium® 24hr 28ct']
"on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",['nutro™ wholesome essentials™ dry cat food bag']
"off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",[]
"on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)","['® product', '® products']"
ONE Venus Blade Refill (4 ct or larger).,['venus blade refill']
ONE Venus Razor (excludes disposables).,['venus razor']
"ONE Tide Purclean Laundry Detergent (excludes Studio by Tide Laundry Detergent, Tide Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).","['tide purclean laundry detergent', 'tide laundry detergent', 'tide detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']"
ONE Burts Bees Adult Toothpaste (excludes trial/travel size).,['burts bees adult toothpaste']
on any ONE (1) Osteo Bi-Flex® product (28ct or larger),['osteo bi-flex® product']
off any ONE (1) Children's Claritin® Syrup 4oz or larger,"[""children 's claritin® syrup 4oz""]"
"ONE Tide Simply PODS 20 ct or larger (excludes Tide detergent, Tide Simply Detergent, Tide PODS, and trial/travel size)","['tide detergent', 'tide pods']"
ONE (1) Mizkan Dipping Sauce (Located in the International Aisle),['international aisle']
on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),['disposable swimpants']
off any ONE (1) Children's Claritin® Chewables 20ct OR ONE (1) Children's Reditab®,"[""children 's claritin® chewables 20ct"", ""children 's reditab®""]"
ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),['colgate® optic white® renewal toothpaste']
"ONE Tide Antibacterial Spray (excludes Tide Stain Pen, Tide Rescue, Tide Laundry Detergent, Tide PODS and trial/travel size).","['tide antibacterial spray', 'tide stain pen', 'tide rescue', 'tide laundry detergent', 'tide pods']"
on any ONE (1) Raid® Essential Oils Product(Excludes Raid® Club Packs and Twin Packs),"['essential oils product', 'raid® club']"
SAVE $1.00 on any TWO (2) box of TRISCUIT Cheddar or Tzatziki Crackers (8.5 oz.),"['triscuit cheddar', 'tzatziki crackers']"
"SAVE $0.40 on any ONE (1) Lipton® TeaBags,K-Cup®, Liquid or Powdered Iced Tea Mix product.","['lipton® teabags', 'tea mix product']"
"Save $1.50 any ONE (1) Tillamook Ice Cream, 56oz.",['tillamook ice cream']
Save $1.00 Off The Purchase of One (1) GreenWise Pork Loin Boneless Chops valued at $10.00 or More,['greenwise pork loin boneless chops']
Save $1.00 on TWO (2) Reese's Standard or King Size bars,"[""reese 's""]"
On any Colgate TotalSF Advanced (5.1 oz) or Colgate® Optic White® Advanced (4.5 oz) Toothpaste,"['colgate totalsf', 'colgate® optic white®']"
Save $1.00 on any TWO (2) Starbucks single serve products,[]
Save $1.00 on any ONE (1) Tigertail Fusion Wing Sauce or Mustard,['tigertail fusion wing sauce']
"Save $1.50 on any ONE (1)Tostitos® Dip (10 - 24oz) When You Buy any TWO (2) Tostitos® Tortilla Chips (9 – 18oz bags, Excludes Cantina)","['tostitos® dip', 'tostitos® tortilla chips', '– 18oz bags']"
"Save $0.50 on ONE (1) Pine-Sol® Product, 40 oz. or Larger",['pine-sol® product']
Save $0.20 on any ONE (1) Mrs. Butterworth's NEW Breakfast for 1 Pancake Cups,"[""mrs. butterworth 's"", 'new breakfast', 'pancake cups']"
Save $1.00 on any ONE (1) Oikos or Light &amp; Fit tub,['fit tub']
Save $0.50 on any one (1) pack of Energizer® Batteries,['energizer® batteries']
Save $0.50 on any ONE (1) Dole® Acai Bowl,['dole® acai bowl']
Save $1.50 on any TWO (2) Ziploc® brand bags		<br>,['ziploc® brand bags < br >']
"Save $1.00 on any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)","['benadryl® 20ct', '4oz product']"
Save $2.00 on any TWO (2) Healthy Choice Power Dressing,['healthy choice power']
Save $1.00 on any ONE (1) Ripple Dairy Free Milk,"['ripple dairy', 'free milk']"
"Save $0.50 Off The Purchase of One (1) Publix Glass Cleaner With Ammonia, Trigger Bottle, 32-oz bot.","['publix glass', 'trigger bottle', '32-oz bot']"
"Save $1.00 Off The Purchase of Three (3) Publix Soft Drink Or Seltzer Water, 2-L bot.","['soft drink', 'seltzer water', '2-l bot']"
"Save $1.00 on ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).","['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']"
Save $1.00 on any ONE (1) Reynolds Bakeware,['reynolds bakeware']
Save $2.00 Off The Purchase of One (1) Publix Aprons Gourmet Chicken Burger Feta and Bell Pepper,"['publix aprons gourmet chicken burger feta', 'bell pepper']"
Save $1.00 on any THREE (3) Good Humor products,['good humor products']
"Save $3.00 on ONE Super Pack OF Pampers Swaddlers, Cruisers OR Baby Dry Diapers (excludes Overnights, 360 FIT and trial/travel size).","['super pack', 'pampers swaddlers', 'baby dry diapers']"
"Save $0.50 Off The Purchase of One (1) Publix Bamboo Skewers 4, 6, or 12-in, 100-ct. pkg.","['publix bamboo skewers', '100-ct. pkg']"
Save $1.00 on any ONE (1) ChapStick,[]
"Save $0.50 on any ONE (1) Good Foods Guacamole, Plant-based Dip, Dairy Dip or Salsa","['good foods guacamole', 'dairy dip']"
Save $3.00 on ONE BOX Pampers Pure Diapers (excludes trial/travel size).,"['box pampers', 'pure diapers']"
Save $2.00 on ONE (1) Kingsford® Hardwood Pellets 20lb Bag		<br>,['kingsford® hardwood pellets 20lb bag < br >']
"Earn 200 BONUS FUEL POINTS when you buy a participating DOORDASH gift card. *Restrictions apply, see Store for details.","['bonus fuel points', 'doordash gift card']"
"Get 4x FUEL Points on a Mastercard® or Visa® Gift Card when you buy a $25, $50, or $100 Mastercard® or Visa® gift card. *Excludes Variable Load Gift Cards. Restrictions Apply. See Store for Details. (Valid 5/22/20 - 5/25/20)","['4x fuel points', 'visa® gift card', 'visa® gift card', 'variable load gift cards', 'valid 5/22/20']"
"Get 4x FUEL Points on FRI - SAT - SUN - MON Only when you buy a participating gift card, prepaid wireless card or prepaid phone. *Restrictions Apply.  See Store for Details.","['4x fuel points', 'gift card', 'prepaid wireless card', 'prepaid phone']"
"Save $1.00 on 2 Reese's bars When you buy TWO (2) Reese's Standard or King Size bars, any variety","[""reese 's"", ""reese 's""]"
"Save $2.00 on Reese's, Hershey's and Kit Kat Candy Bags when you buy any ONE (1) Reese's, Hershey's or Kit Kat Candy Bags (31oz or larger)","[""reese 's"", ""hershey 's"", 'kit kat candy bags', ""reese 's"", ""hershey 's"", 'kit kat candy bags']"
"Save $1.00 on Olive Garden® Parmesan Ranch Dressing when you buy ONE (1) Olive Garden® Parmesan Ranch Dressing, any size.","['olive garden® parmesan ranch', 'olive garden® parmesan ranch']"
"Save $0.40 on Lipton® Tea Products When you buy on ONE (1) Lipton® TeaBags,K-Cup®, Liquid or Powdered Iced Tea Mix product, any variety or size","['lipton® tea products', 'lipton® teabags', 'tea mix product']"
"Save $2.00 on Nando's PERinaise When you buy ONE (1) Nando's PERinaise item, any variety or size","[""nando 's perinaise"", ""nando 's perinaise item""]"
"Save $1.00 on Twizzlers Licorice Candy Bags when you buy any TWO (2) Twizzlers Licorice Candy Bags, any variety (11-16oz)","['twizzlers licorice candy bags', 'twizzlers licorice candy bags']"
"Save $2.00 on 2 Crest Toothpaste when you buy TWO (2) participating Crest Toothpaste (Excludes Crest Cavity Protection, Baking Soda &amp; Peroxide, Tartar Control/Protection, and trial/travel sizes)","['crest toothpaste', 'crest toothpaste', 'crest cavity protection', 'tartar control/protection', '/ s']"
Save $2.00 on Reese's and York Thins Candy Bags when you buy any TWO (2) Reese's or York Thins Candy Bags (7.2-7.37oz),"[""reese 's"", 'york thins candy bags', ""reese 's"", 'york thins candy bags']"
"Save $0.80 on Kroger Chip Variety Packs When you buy ONE (1) Kroger Chip Variety Pack, any variety (13-19 OZ)","['kroger chip variety', 'kroger chip variety pack']"
"Save $0.50 on Private Selection BBQ Sauce When you buy ONE (1) Private Selection BBQ Sauce, any variety (13-19 OZ)","['private selection bbq sauce', 'private selection bbq sauce']"
"Save $1.00 on LISTERINE® Mouthwash or LISTERINE® READY! TABS® when you buy ONE (1) LISTERINE® Mouthwash, any varitey (500mL or larger) or ONE (1) LISTERINE® READY! TABS®, any variety (8 Ct or larger)","['listerine® mouthwash', 'listerine® mouthwash']"
"Save $1.00 on 2 Ben &amp; Jerry's Ice Cream Pints or Cookie Dough Chunks when you buy TWO (2) Ben &amp; Jerry's Ice Cream Pints or Ben &amp; Jerry's Cookie Dough Chunks, any variety or size","[""jerry 's ice cream pints"", 'cookie dough chunks', ""jerry 's ice cream pints"", ""jerry 's cookie dough chunks""]"
Save $4.00 on 2 Colgate® Optic White® or Colgate TotalSF Toothpastes when you buy TWO (2) Colgate® Optic White® or Colgate TotalSF Toothpastes (3.0 oz or larger),"['colgate® optic white®', 'colgate totalsf toothpastes', 'colgate® optic white®', 'colgate totalsf toothpastes']"
Save $2.00 on 2 Oral B items when you buy TWO (2) participating Oral B Manual Toothbrushes (Excludes Oral B Healthy Clean &amp; Cavity Defense brushes and trial/travel sizes),"['oral b items', 'oral b', 'manual toothbrushes', 'oral b healthy', 'cavity defense brushes', '/ s']"
"Save $2.00 on Axe When you buy ONE (1) Axe Antiperspirant or Deodorant 2.7-3oz, Body Spray 4oz, Bodywash 16oz, or Shampoo 16oz. Excludes all other sizes and twin packs. This can be redeemed 5 times in a single transaction.","['axe antiperspirant', 'deodorant 2.7-3oz', 'body spray 4oz', 'bodywash 16oz', 'shampoo 16oz']"
"Save $1.00 on Oral-B Glide Floss when you buy ONE (1) Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks. Excludes trial/travel size.","['oral-b glide floss', 'oral-b glide', 'manual floss', 'interdental brush']"
Save $1.50 on Dove or Degree item When you buy ONE (1) Dove or Dove Men+Care Shampoo and Conditioner (12oz or larger) or Antiperspirant/Deodorant Sticks or Dry Sprays. Excludes trial and travel) or Degree MOTIONSENSE Antiperspirant or Deodorant Stick 2.6-3.0oz (excludes trial and travel).This can be redeemed 5 times in a single transaction,"['degree item', 'dove men+care shampoo', 'antiperspirant/deodorant sticks', 'dry sprays', 'degree motionsense antiperspirant']"
"Save $2.00 on Oral-B Adult Manual Toothbrush when you buy ONE (1) Oral-B Pulsar OR Multi-pack Adult Manual Toothbrush. Excludes Kids, Healthy Clean, Cavity Defense and trial/travel size.","['oral-b adult', 'manual toothbrush', 'oral-b pulsar', 'multi-pack adult', 'manual toothbrush', 'cavity defense']"
"Save $0.65 on Oikos Blue Single Serve Cup When You Buy ONE (1) Oikos Blue Single Serve Cup, any size. Excludes Oikos Triple Zero products.","['blue single', 'blue single', 'oikos triple zero products']"
"Save $1.00 on TIDE LAUNDRY GROUP ONE Tide Laundry Detergent 50 oz OR 46 oz (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).","['tide laundry group', 'tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'tide detergent']"
Save $2.00 on Persil® Detergent when you buy ONE (1) Persil® Laundry Detergent (100oz) or Discs (38-40ct).,"['persil® detergent', 'persil® laundry detergent']"
"Save $3.00 on Crest Toothpaste when you buy ONE (1) Crest 3D White Whitening Therapy Enamel Care, Sensitivity, Charcoal OR Ingredients (3.0 oz or larger). Excludes all other variants, Kids and trial/travel size.","['crest toothpaste', 'crest 3d', 'therapy enamel care']"
"Save $2.00 on Love Beauty &amp; Planet or Schmidt's item When you buy ONE (1)  Love, Beauty &amp; Planet Shampoo, Bodywash, or Lotion (13.5-16oz), or Schmidt's Deodorant (2.65-3.25oz). Excludes trial and travel sizes. This can be redeemed 5 times in a single transaction","[""schmidt 's item"", 'planet shampoo', ""schmidt 's deodorant""]"
"Save $3.00 on Crest Gum Health Toothpaste when you buy ONE (1) Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity (3.0 oz or larger). Excludes all other variants, kids, and trial/travel size.","['crest gum health toothpaste', 'crest gum detoxify', 'enamel repair']"
"Save $0.50 on Colgate® Kids Toothpaste when you buy ONE (1) Colgate® Kids Toothpaste, any variety (4.4 oz or larger)","['colgate® kids toothpaste', 'colgate® kids toothpaste']"
"Save $1.50 on Community Coffee When you buy ONE (1) Bag or Single-Serve Box of Community® Coffee, any variety or size","['community coffee', 'single-serve box', 'community® coffee']"
Save $1.00 on Burt's Bees Adult Toothpaste when you buy ONE (1) Burt's Bees Adult Toothpaste. Excludes trial/travel size.,"[""burt 's bees adult toothpaste"", ""burt 's bees adult toothpaste""]"
Save $0.75 on Burt's Bees Kids Toothpaste when you buy ONE (1) Burt's Bees Kids Toothpaste. Excludes trial/travel size.,"[""burt 's bees kids toothpaste"", ""burt 's bees kids toothpaste""]"
Save $3.00 on Colgate® Optic White Renewal when you buy ONE (1) Colgate® Optic White Renewal Toothpaste (3.0 oz or larger),"['colgate® optic', 'white renewal', 'colgate® optic', 'white renewal toothpaste']"
"Save $2.00 on Kauai SS Coffee Pods When you buy ONE (1) Kauai SS Coffee Pods, any variety (12ct)","['kauai ss coffee pods', 'kauai ss coffee pods']"
"Save $1.00 on Suave item When you buy ONE (1)  Suave Professionals Green, Silver, or Gold, Men's or Kids Shampoo and Conditioner (12-28oz). Excludes Suave Essentials Shampoo and Conditioner or Trial Sizes. This can be redeemed 5 times in a single transaction","['suave item', 'suave professionals green', ""men 's"", 'kids shampoo', 'suave essentials shampoo']"
"Save $1.25 on Kroger Frozen Appetizers When you buy ONE (1) Kroger Frozen Appetizer, any variety (20-33 OZ)","['kroger frozen appetizers', 'kroger frozen appetizer']"
Save $3.00 on 2 TRESemme items When you buy TWO (2) TRESemme Premium Shampoo and Conditioner or Styling Aid (5-22oz). Excludes trial and travel sizes. This can be redeemed 5 times in a single transaction,"['tresemme items', 'tresemme premium shampoo', 'styling aid']"
"Save $2.00 on Nando's PERi PERi Sauce When you buy ONE (1) Nando's PERi PERi Sauce, any variety or size","[""nando 's peri peri sauce"", ""nando 's peri peri sauce""]"
"Save $0.40 on Private Selection Mustard When you buy ONE (1) Private Selection Mustard, any variety (8-9 OZ)","['private selection mustard', 'private selection mustard']"
"Save $1.00 on Planet Oat oatmilk When you buy ONE (1) Planet Oat oatmilk, any variety (52oz)","['planet oat oatmilk', 'planet oat oatmilk']"
"Save $1.00 on Vero Gusto Premium Pasta Sauce When you buy ONE (1) Vero Gusto Premium Pasta Sauce, any variety or size","['vero gusto premium pasta sauce', 'vero gusto premium pasta sauce']"
Save $0.30 on COFFEE MATE® product when you buy ONE (1) COFFEE MATE® Original Powder Coffee Creamer Canister (35.3 oz).,"['coffee mate® product', 'coffee mate®', 'original powder coffee creamer canister']"
Save $2.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Shampoo or Conditioner Products (11.7oz). [Excludes trial/travel size].,"['herbal essences products', 'herbal essences shampoo', 'conditioner products', '[ / ]']"
"Save $2.00 on 2 Pantene Products when you buy TWO (2) Pantene Shampoo, Conditioner or 2N1 Products (12-12.6oz). [Excludes trial/travel size].","['pantene products', 'pantene shampoo', '[ / ]']"
Save $1.50 on  Pantene Product when you buy ONE (1) Pantene Hair Affair Product (3.7-5.9oz). [Excludes trial/travel size].,"['pantene product', 'pantene hair affair product', '[ / ]']"
Save $1.50 on  Waterless Product when you buy ONE (1) Waterless Product (3.6-7.6oz). [Excludes trial/travel size].,"['waterless product', 'waterless product', '[ / ]']"
Save $2.00 on 2 Aussie Products when you buy TWO (2) Aussie Shampoo or Conditioner Products (12.1oz). [Excludes trial/travel size].,"['aussie products', 'aussie shampoo', 'conditioner products', '[ / ]']"
"Save $1.50 on Advil or Advil PM Products when you buy any ONE (1) Advil or Advil PM, any variety (40ct or larger)","['advil pm products', 'advil pm']"
Save $3.00 on 2 Aussie Products when you buy TWO (2) Aussie Shampoo or Conditioner Products (26.2oz). [Excludes trial/travel size].,"['aussie products', 'aussie shampoo', 'conditioner products', '[ / ]']"
Save $3.00 on 2 Pantene Products when you buy TWO (2) Pantene Nutrient Blends Products (4.7-9.6oz). [Excludes trial/travel size].,"['pantene products', 'pantene nutrient blends products', '[ / ]']"
Save $3.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Bio:Renew Shampoo or Conditioner Products (12.1-13.5oz). [Excludes trial/travel size].,"['herbal essences products', 'herbal essences bio', 'conditioner products', '[ / ]']"
Save $3.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Shampoo or Conditioner Products (29.2oz). [Excludes trial/travel size].,"['herbal essences products', 'herbal essences shampoo', 'conditioner products', '[ / ]']"
"Save $.50 on RETHINK JUICE SPLASH when you buy ONE (1) RETHINK JUICE SPLASH, Organic Naturally Flavored Kids Juice, any variety (8 pack)","['$ .50', 'rethink juice splash', 'rethink juice splash', 'kids juice']"
"Save $0.40 on Kroger Flavored Sandwich Spreads When you buy ONE (1) Kroger Flavored Sandwich Spread, any variety (11 FO)",[]
"Save $0.50 on ZZZQUIL PURE Zzzs Products when you buy ONE (1) Vicks ZzzQuil PURE Zzzs Product. Excludes Kidz, Soothing Aromatherapy Balm, and trial/travel size.","['pure zzzs products', 'vicks zzzquil', 'pure zzzs product', 'aromatherapy balm']"
Save $3.00 on 2 Hair Food Products when you buy TWO (2) Hair Food Products (10.1oz). [Excludes trial/travel size].,"['hair food products', 'hair food products', '[ / ]']"
Save $1.00 on Tide Pods when you buy ONE (1) Tide Pods (15-20ct),"['tide pods', 'tide pods']"
"Save $0.50 Energizer® Batteries when you buy one (1) pack of Energizer® Batteries, any variety or size","['energizer® batteries', 'energizer® batteries']"
"Save $1.00 on One Vietti Artisan Chili when you buy ONE (1) Vietti                                                      Artisan Canned Chili, any variety (15 oz)","['vietti artisan chili', 'vietti artisan']"
"Buy 1 Finders Keepers, Get 1 Free! Buy ONE (1) Finders Keepers Milk Chocolate Candy &amp; Surprise, get your SECOND (2nd) Free","['finders keepers', 'finders keepers milk chocolate candy']"
Save $2.00 on Colgate® or Colgate® Zero Mouthwash when you buy ONE (1) Colgate® or Colgate® Zero Mouthwash (400 mL or larger),"['colgate® zero mouthwash', 'colgate® zero mouthwash']"
Save $2.00 on Oral-B Special Care Oral Rinse when you buy ONE (1) Oral-B Special Care Oral Rinse (475 ml or larger). Excludes trial/travel size.,"['special care oral rinse', 'special care oral rinse']"
"Save $.50 on Di Martino Pasta When you buy ONE (1) Di Martino Pasta, any variety or size","['$ .50', 'di martino pasta', 'di martino pasta']"
"Save $3.00 on Culturelle Probiotics When you buy ONE (1) Culturelle Probiotic, any variety or size","['culturelle probiotics', 'culturelle probiotic']"
Save $5.00 on Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,"['oral-b vitality', 'rechargeable electric toothbrush', 'oral-b vitality', 'rechargeable electric toothbrush']"
"Save $5.00 on 2 Febreze, Prilosec, Vicks, Clearblue items when you buy TWO (2) Febreze Plug (2ct or 3ct Refills), Prilosec OTC (14ct), Vicks ZZZQuil (42ct or 12oz), Vicks Pure ZZZ's Gummies (48ct), or Clearblue Pregnancy Tests (2ct)","['clearblue items', 'febreze plug', '3ct refills', 'prilosec otc', 'vicks zzzquil', ""pure zzz 's gummies"", 'clearblue pregnancy tests']"
"Save $1.00 on Simple Truth Organic Potato Chips When you buy ONE (1) Simple Truth Organic Potato Chips, any variety (5 oz)","['simple truth organic potato chips', 'simple truth organic potato chips']"
"Save $0.50 on Pine-Sol® Products When you buy ONE (1) Pine-Sol® Product, 40 oz. or Larger, any variety","['pine-sol® products', 'pine-sol® product']"
"Save $1.00 on BENADRYL® product when you buy ONE (1) BENADRYL®  20ct, 24ct or 4oz product. Excludes topical, trial &amp; travel sizes","['benadryl® product', 'benadryl® 20ct', '4oz product']"
Save $5.00 on Non-Drowsy Claritin® Product When you buy ONE (1) Non-Drowsy Claritin® (24 count or larger),"['non-drowsy claritin® product', 'non-drowsy claritin®']"
Save $8.00 on Non-drowsy Claritin® Liqui-Gels® or Tablets when you buy ONE (1) Non-drowsy Claritin® Liqui-Gels® (60 ct) or Tablets (70 ct or larger),"['non-drowsy claritin® liqui-gels®', 'non-drowsy claritin® liqui-gels®']"
Save $1.00 on Gardein® When you buy ONE (1) Gardein®  Skillet Meal (20 oz),['gardein® skillet meal']
"Save $4.00 on AllerLife When you buy ONE (1) AllerLife, any variety or size",[]
"Save $1.50 on Paqui Chips Bag When you buy ONE(1) Paqui Chips Bag, any variety (7oz)","['paqui chips bag', 'paqui chips bag']"
Save $3.00 on FINISH® QUANTUM™ OR FINISH® Max in 1® when you buy ONE (1) FINISH® QUANTUM™ (50ct) OR FINISH® Max in 1®(63ct),"['finish® quantum™', 'finish® max', 'finish® quantum™', 'finish® max']"
Save $1.00 on Fixodent Adhesive when you buy ONE (1) Fixodent Adhesive (1.4 oz OR larger). Excludes trial/travel size.,"['fixodent adhesive', 'fixodent adhesive']"
"Save $3.00 on 2 Native Deodorants When you buy TWO (2) Native Deodorants, any variety (2.65oz)","['native deodorants', 'native deodorants']"
Save $1.00 on Gillette &amp; Venus Disposable Razors When you buy ONE (1) Gillette or Venus Disposable Razor (2CT or larger) (Excludes Treo &amp; Daisy 4CT),"['disposable razors', 'disposable razor', 'daisy 4ct']"
"Save $2.00 on Olay Wipes or Age Defy Cleanser or Masks When you buy ONE (1) Olay Wipes, (25CT OR 66CT) or Age Defy Cleanser or Masks","['olay wipes', 'age defy cleanser', 'olay wipes', 'age defy cleanser']"
"Save $0.70 on Simple Truth Guacamole When you buy ONE (1) Simple Truth Guacamole, any variety (8 OZ)","['simple truth guacamole', 'simple truth guacamole']"
Save $15.00 on Oral-B 5000 OR 6000 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B 5000 OR 6000 Rechargeable Electric Toothbrush.,"['rechargeable electric toothbrush', 'rechargeable electric toothbrush']"
Save $5.00 on Oral-B Pro 1000 OR 3000 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Pro 1000 OR Pro 3000 Rechargeable Electric Toothbrush.,"['rechargeable electric toothbrush', 'rechargeable electric toothbrush']"
Save $1.00 on Prilosec OTC Products when you buy ONE (1) Prilosec OTC Product.,"['prilosec otc products', 'prilosec otc product']"
"Save $.50 on LUVS Diapers When you buy ONE (1) LUVS Diapers, Bag (21ct-40ct), any variety or size. Excludes Trial and Travel Size","['$ .50', 'luvs diapers', 'luvs diapers']"
"Save $1.00 on Kashi® Cereals When you buy TWO (2) Kashi® Cereals (6.5 oz or Larger, Any Flavor, Mix or Match)","['kashi® cereals', 'kashi® cereals']"
Save $0.75 on Private Selection Buffalo Chicken Dip When you buy ONE (1) Private Selection Buffalo Dip (10 OZ),"['private selection buffalo chicken dip', 'private selection buffalo dip']"
Save $10.00 on Crest Whitestrips When you buy ONE (1) participating Crest Whitestrips item.  Excludes Crest Noticeably White Whitestrips.,"['crest whitestrips', 'crest whitestrips item', 'white whitestrips']"
"Save $2.00 on Yucatan Guacamole Squeeze Product when you buy (1) Yucatan Guacamole Squeeze Product, any variety or size","['yucatan guacamole squeeze product', 'yucatan guacamole squeeze product']"
"Save $0.75 on Private Selection Cheese Spreads When you buy ONE (1) Private Selection Cheese Spread, any variety (9 OZ)","['private selection cheese', 'private selection cheese']"
"Save $3.00 on Schick® Razor products When you buy ONE (1) Skintimate® or Schick® Disposable Razor Pack. Excludes Schick® Xtreme3® 1 ct., Schick® Xtreme2® and Skintimate® 2 &amp; 6 ct Disposables","['schick® razor products', 'disposable razor pack', 'schick® xtreme3®', 'schick® xtreme2®', 'ct disposables']"
Save $0.50 on Alocane Burn Gel When you buy ONE (1) Alocane Emergency Burn Gel,"['alocane burn gel', 'alocane emergency burn gel']"
Save $.50 on Gillette &amp; Venus Shave Gels When you buy ONE (1) Gillette Proglide Shave Gel (6oz) OR Venus &amp; Olay Shave Gel (6oz) (Excludes all other varieties),"['$ .50', 'venus shave gels', 'gillette proglide shave gel', 'olay shave gel']"
"Save $4.00 on  Olay Regenerist Facial Moisturizer When you buy ONE (1) Olay Regenerist Facial Moisturizer, any variety or size","['olay regenerist facial moisturizer', 'olay regenerist facial moisturizer']"
