Actual,Prediction
"['meats chicharrones', 'meats chicharrones']",['Meats Chicharrones']
[],[]
"['craisins® item', 'craisins® item']",['Craisins® item']
"['osteo bi-flex® products', 'osteo bi-flex® product']",['Osteo Bi-Flex® Products']
"['blue diamond nut thins', 'blue diamond nut', 'thin crackers']",['Thin Crackers']
"['zoneperfect® keto products', 'zoneperfect® keto powder']","['ZonePerfect® Keto products', 'ZonePerfect® Keto Powder']"
"['schick men razors', 'schick hydro®', 'schick® quattro® titanium* razor', 'schick® disposables', ""women 's razor""]","['Men Razors', 'Schick Hydro®', 'Schick® Quattro® Titanium* Razor', ""Women's Razor""]"
"['kodiak cakes', 'kodiak cakes']",['Kodiak Cakes']
"['nutro™ wholesome essentials™ cat food', 'nutro™ wholesome essentials™ dry cat food']","['NUTRO™ WHOLESOME ESSENTIALS™ Cat Food', 'NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food']"
"['venus blade refills', 'venus blade refill', 'gillette3 4ct']","['Venus Blade Refills', 'Gillette3 4CT']"
['water product'],['Water product']
"['venus razors', 'venus razor', 'disposable razors', 'mach3 1up razor']","['Venus Razors', 'Disposable Razors', 'Mach3 1UP Razor']"
"['natural jars', 'natural pouch', 'natural jars', 'natural pouch']",['Natural Pouch']
"['creative roots beverage', 'creative roots beverage']",['CREATIVE ROOTS beverage']
"['louis kemp', 'louis kemp alaskan delights', 'crab delights']","['Louis Kemp', 'Louis Kemp Alaskan Delights', 'Crab Delights']"
"['simple truth organic snack crackers', 'simple truth organic snack crackers']",['Simple Truth Organic Snack Crackers']
"['® products', '® product', '® products']",['® Products']
"['simple truth fig', 'thyme crisp crackers', 'simple truth fig', 'thyme crisp crackers']","['Simple Truth Fig', 'Thyme Crisp Crackers']"
"['claritin® syrup', ""non-drowsy children 's claritin® syrup""]","['Claritin® Syrup', ""Non-Drowsy Children's Claritin® Syrup""]"
[],[]
['performance kitchen meal'],['Performance Kitchen Meal']
[],[]
"['enfamil powder', 'enfamil infant formula powder']","['Enfamil Powder', 'Enfamil Infant Formula powder']"
"['babyganics sunscreen', 'free bug spray', 'babyganics sunscreen', 'free bug spray']",[]
['glucerna® multi-pack'],['Glucerna® multi-pack']
['pediasure® product'],['PediaSure® product']
"['raid® products', 'essential oils product', 'raid® club']","['Raid® Products', 'Essential Oils Product', 'Raid® Club']"
"['bare repulic products', 'bare republic sun product']",['Bare Republic Sun Product']
['cheerwine glass packages'],['Cheerwine Glass Packages']
"['madegood granola', 'mini item']",['Mini Item']
"['red palm oil', 'red palm oil']",['Red Palm Oil']
"['ultimate burger', 'ultimate burger frozen']","['Ultimate Burger', 'Ultimate Burger Frozen']"
"['gardein® breakfast bowl', 'gardein® breakfast bowl']",['Gardein® Breakfast Bowl']
"['visine® product', 'visine® product', '/ s']","['VISINE® product', 'VISINE® product']"
"['yumearth organic lollipops', 'black licorice']","['YumEarth Organic Lollipops', 'Black Licorice']"
"[""earth 's"", 'chicken fries', ""earth 's"", 'chicken fries']","[""Earth's"", 'Chicken Fries']"
"['nuk cups', 'nuk cup item']","['NUK cups', 'Nuk Cup item']"
"['pantene products', 'royal oils', 'gold series products', '[ / ]']","['Pantene Products', 'Royal Oils', 'Gold Series Products']"
"['bic® tattoo marker', 'bic® tattoo marker']",['BIC® Tattoo Marker']
"['bic® tattoo marker', 'bic® tattoo marker']",['BIC® Tattoo Marker']
"['refresh eye drops', 'refresh eye drop', 'refresh repair']",['Refresh Repair']
['systane icap vitamins'],['Systane ICAP Vitamins']
"['vital proteins powder canister', 'vital proteins powder canister']",['Vital Proteins Powder']
"['giovanni eco', '2chic shampoo', 'giovanni eco', '2chic shampoo']",[]
"['tajin clasico seasonings', 'tajin clasico seasonings']",['TAJIN Clasico Seasonings']
"['nutiva mct powder product', 'nutiva mct powder product']",['Nutiva MCT Powder product']
"['simple truth mulit-vitamin gummies', 'simple truth multi-vitamin gummies', 'hair skin', 'nails gummies']","['Simple Truth Mulit-Vitamin Gummies', 'Simple Truth Multi-Vitamin Gummies', 'Hair Skin', 'Nails Gummies']"
"['nutiva mct oil product', 'nutiva mct oil product']",['Nutiva MCT Oil Product']
"['simple truth organic', 'simple truth organic']",['Simple Truth Organic']
"['biofreeze product', 'biofreeze pain']","['Biofreeze product', 'Biofreeze Pain']"
"['2x fuel points download', 'digital coupon', '2x fuel points*']","['2x Fuel Points Download', 'digital coupon', '2x fuel points*']"
"['bronkaid product', 'bronkaid® product']","['Bronkaid product', 'Bronkaid® product']"
"[""kellogg's® jumbo snax"", ""kellogg's® jumbo snax""]","[""'s® Jumbo Snax""]"
"['non-drowsy claritin-d® products', 'non-drowsy claritin-d® product']",['Non-Drowsy Claritin-D® Products']
"['pataday® eye allergy itch relief drops', 'pataday® eye allergy itch relief drops']",['Allergy Itch Relief Drops']
"[""milton 's gluten"", 'free cracker', ""milton 's gluten"", 'free crackers']","[""'s Gluten"", 'Free Cracker', 'Free Crackers']"
"['sartori cheese deli bags', 'sartori cheese deli bag']",['Cheese Deli Bags']
[],[]
"['simple truth hummus', 'simple truth hummus']",['Simple Truth Hummus']
"['full o', 'nuts coffee', 'full o', 'nuts coffee']","['full o', 'Nuts Coffee']"
"['paper check', 'tax refund', 'government paper check', 'money services']","['Paper Check', 'tax refund', 'government paper check', 'Money Services']"
"['simple truth', 'burger patties', 'simple truth']","['Simple Truth', 'Burger Patties']"
"['simple truth', 'burger grinds', 'simple truth']","['Simple Truth', 'Burger Grinds']"
"['simple truth organic parmesan cheese', 'simple truth organic parmesan cheese wedge', 'specialty cheese', 'deli dept']","['Simple Truth Organic Parmesan Cheese', 'Specialty Cheese', 'Deli Dept']"
"['refresh eye drops', 'refresh relieva', 'refresh optive mega-3 eye drop']","['Refresh Relieva', 'Refresh Optive Mega-3']"
[],[]
"['lb bag', 'purina® dog chow®', 'purina® puppy chow® dry food']","['lb bag', 'Purina® Dog Chow®', 'Purina® Puppy Chow® Dry Food']"
"['tropic sun sunscreen lotion', 'spray 5.5-6 oz', 'family dollar smart coupon']","['Tropic Sun SunScreen Lotion', 'Spray 5.5-6 oz', 'Family Dollar Smart Coupon']"
"['family pet meaty cuts dry dog food', 'family dollar smart coupon']","['Family Pet Meaty Cuts Dry Dog Food', 'Family Dollar Smart Coupon']"
"['purex® liquid 128-150oz.', '4-in-1 pacs']","['Purex® Liquid 128-150oz.', '4-in-1 Pacs']"
"['all® liquid laundry detergent', 'mighty pacs®']","['all® liquid laundry detergent', 'mighty pacs®']"
"['snuggle® liquid fabric softener 48.6-50oz.', 'scent shakes™']","['Snuggle® Liquid Fabric Softener 48.6-50oz.', 'Scent Shakes™']"
"['all® liquid 54oz.', 'mighty pacs® 19ct']","['all® Liquid 54oz.', 'mighty pacs® 19ct']"
['huggies pull-ups'],['Huggies Pull-Ups']
"['cascade dishwasher detergent', 'rinse aid']","['Cascade Dishwasher Detergent', 'Rinse Aid']"
['clean products'],['Clean Products']
['disposable swimpants'],['Disposable Swimpants']
"['$ .75', 'super scoop', 'cat litter', 'family dollar smart coupon']","['.75', 'Super Scoop', 'Cat Litter', 'Family Dollar Smart Coupon']"
['meow mix dry product'],['Meow Mix Dry Product']
['kibbles n bits dry product'],['Kibbles N Bits Dry Product']
"['dreft blissfuls', 'scent boosters']","['Dreft Blissfuls', 'Scent Boosters']"
"['dreft newborn laundry detergent', 'active baby laundry detergent']","['Dreft Newborn Laundry Detergent', 'Active Baby Laundry Detergent']"
"['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'tide detergent']","['Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
"['tide pods', 'tide liquid/powder laundry detergent', 'tide pods']","['Tide PODS', 'Tide Liquid/Powder Laundry Detergent']"
['venus products'],['Venus Products']
[],[]
"['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']","['Downy Liquid Fabric Conditioner 48ld', 'Downy Odor', 'Downy Wrinkle Guard 25oz', 'Downy Nature Blends', 'Bounce/Downy Sheets 70ct', 'Bounce/Downy Wrinkle Guard 40ct', 'Scent Boosters 5.7oz', 'Downy Unstopables', 'Rapid Touch-up', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
"['dreft blissfuls', 'scent boosters']","['Dreft Blissfuls', 'Scent Boosters']"
['bounty paper towel product'],['Bounty Paper Towel Product']
['puffs facial tissues'],['Puffs Facial Tissues']
['charmin toilet paper product'],['Charmin Toilet Paper Product']
['prilosec otc product'],['Prilosec OTC Product']
"['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']","['Crest Toothpaste', 'oz Crest Cavity', 'Tartar Control/Protection', 'Pep Gleem', 'Gum Detoxify', 'Gum Enamel variants', 'Therapy variants']"
"['oral-b glide', 'manual floss', 'interdental brush']","['Oral-B Glide', 'Manual Floss', 'Interdental Brush']"
['matchlight® charcoal 8lbs'],[]
"['lipton® teabags', 'tea mix product']","['Lipton® TeaBags', 'Tea Mix product']"
"['colgate optic', 'white renewal toothpaste']","['Colgate Optic', 'White Renewal Toothpaste']"
"['banana boat® sun care product', 'lip balm']","['Banana Boat® Sun Care Product', 'lip balm']"
['pull-ups® training pants'],['PULL-UPS® Training Pants']
['energizer® batteries'],['Energizer® Batteries']
"['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Botanicals', 'Essential Oils', 'Gain Powder Laundry Detergent', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks']"
"['gain liquid fabric softener', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']","['Gain Liquid Fabric Softener', 'Gain Fireworks', 'Scent Boosters', 'Gain Dryer Sheets', 'Gain Flings', 'Gain Detergent']"
['pine-sol® product'],['Pine-Sol® Product']
"['benadryl® 20ct', '4oz product']","['BENADRYL® 20ct', '4oz product']"
"['® product', '® products']","['® Product(Excludes Club', '® Products']"
"[""reese 's""]","[""Reese's""]"
"['glacier ice auto ac refrigerant', 'family dollar smart coupon']","['Glacier Ice Auto AC Refrigerant', 'Family Dollar Smart Coupon']"
"['kidgets jumbo pack diapers s newborn-7', 'family dollar smart coupon']","['Pack Diapers', 'Family Dollar Smart Coupon']"
"['lb bag', 'purina® dog chow®', 'purina® puppy chow® dry food']","['lb bag', 'Purina® Dog Chow®', 'Purina® Puppy Chow® Dry Food']"
"['tropic sun sunscreen lotion', 'spray 5.5-6 oz', 'family dollar smart coupon']","['Tropic Sun SunScreen Lotion', 'Spray 5.5-6 oz', 'Family Dollar Smart Coupon']"
"['family pet meaty cuts dry dog food', 'family dollar smart coupon']","['Family Pet Meaty Cuts Dry Dog Food', 'Family Dollar Smart Coupon']"
"['purex® liquid 128-150oz.', '4-in-1 pacs']","['Purex® Liquid 128-150oz.', '4-in-1 Pacs']"
"['all® liquid laundry detergent', 'mighty pacs®']","['all® liquid laundry detergent', 'mighty pacs®']"
"['snuggle® liquid fabric softener 48.6-50oz.', 'scent shakes™']","['Snuggle® Liquid Fabric Softener 48.6-50oz.', 'Scent Shakes™']"
"['all® liquid 54oz.', 'mighty pacs® 19ct']","['all® Liquid 54oz.', 'mighty pacs® 19ct']"
['huggies pull-ups'],['Huggies Pull-Ups']
"['cascade dishwasher detergent', 'rinse aid']","['Cascade Dishwasher Detergent', 'Rinse Aid']"
['clean products'],['Clean Products']
['disposable swimpants'],['Disposable Swimpants']
"['$ .75', 'super scoop', 'cat litter', 'family dollar smart coupon']","['.75', 'Super Scoop', 'Cat Litter', 'Family Dollar Smart Coupon']"
['meow mix dry product'],['Meow Mix Dry Product']
['kibbles n bits dry product'],['Kibbles N Bits Dry Product']
"['dreft blissfuls', 'scent boosters']","['Dreft Blissfuls', 'Scent Boosters']"
"['dreft newborn laundry detergent', 'active baby laundry detergent']","['Dreft Newborn Laundry Detergent', 'Active Baby Laundry Detergent']"
"['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'tide detergent']","['Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
"['tide pods', 'tide liquid/powder laundry detergent', 'tide pods']","['Tide PODS', 'Tide Liquid/Powder Laundry Detergent']"
['venus products'],['Venus Products']
[],[]
"['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']","['Downy Liquid Fabric Conditioner 48ld', 'Downy Odor', 'Downy Wrinkle Guard 25oz', 'Downy Nature Blends', 'Bounce/Downy Sheets 70ct', 'Bounce/Downy Wrinkle Guard 40ct', 'Scent Boosters 5.7oz', 'Downy Unstopables', 'Rapid Touch-up', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
"['dreft blissfuls', 'scent boosters']","['Dreft Blissfuls', 'Scent Boosters']"
['bounty paper towel product'],['Bounty Paper Towel Product']
['puffs facial tissues'],['Puffs Facial Tissues']
['charmin toilet paper product'],['Charmin Toilet Paper Product']
['prilosec otc product'],['Prilosec OTC Product']
"['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']","['Crest Toothpaste', 'oz Crest Cavity', 'Tartar Control/Protection', 'Pep Gleem', 'Gum Detoxify', 'Gum Enamel variants', 'Therapy variants']"
"['oral-b glide', 'manual floss', 'interdental brush']","['Oral-B Glide', 'Manual Floss', 'Interdental Brush']"
['matchlight® charcoal 8lbs'],[]
"['lipton® teabags', 'tea mix product']","['Lipton® TeaBags', 'Tea Mix product']"
"['colgate optic', 'white renewal toothpaste']","['Colgate Optic', 'White Renewal Toothpaste']"
"['banana boat® sun care product', 'lip balm']","['Banana Boat® Sun Care Product', 'lip balm']"
['pull-ups® training pants'],['PULL-UPS® Training Pants']
['energizer® batteries'],['Energizer® Batteries']
"['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Botanicals', 'Essential Oils', 'Gain Powder Laundry Detergent', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks']"
"['gain liquid fabric softener', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']","['Gain Liquid Fabric Softener', 'Gain Fireworks', 'Scent Boosters', 'Gain Dryer Sheets', 'Gain Flings', 'Gain Detergent']"
['pine-sol® product'],['Pine-Sol® Product']
"['benadryl® 20ct', '4oz product']","['BENADRYL® 20ct', '4oz product']"
"['® product', '® products']","['® Product(Excludes Club', '® Products']"
"[""reese 's""]","[""Reese's""]"
"['glacier ice auto ac refrigerant', 'family dollar smart coupon']","['Glacier Ice Auto AC Refrigerant', 'Family Dollar Smart Coupon']"
"['flintstones vitamins', 'complete chewable vitamins 150ct']","['Flintstones Vitamins', 'Complete Chewable Vitamins 150ct']"
['minimum purchase'],['Minimum Purchase']
"['bronkaid product', 'bronkaid® product']","['Bronkaid product', 'Bronkaid® product']"
"['oral care', 'adult crest toothpaste', 'crest mouthwash', 'manual toothbrush', 'oral-b glide floss', 'fixodent adhesive', 'oz crest cavity', 'tartar control/protection pastes', 'kids variants', 'cavity defense', 'clean brushes']","['ORAL CARE', 'Adult Crest Toothpaste', 'Crest Mouthwash', 'Manual Toothbrush', 'Oral-B Glide Floss', 'Fixodent Adhesive', 'oz Crest Cavity', 'Tartar Control/Protection pastes', 'Kids variants', 'Cavity Defense', 'Clean brushes']"
"['shoulders products', 'royal oils', ""men 's styling""]","['Shoulders Products', 'Royal Oils', ""Men's Styling""]"
['discreet boutique product'],['DISCREET Boutique Product']
"['tide antibacterial spray', 'tide antibacterial spray', 'tide stain pen', 'tide rescue', 'tide laundry detergent', 'tide pods']","['Tide Antibacterial Spray', 'Tide Stain Pen', 'Tide Rescue', 'Tide Laundry Detergent', 'Tide PODS']"
['olay serums'],['Olay Serums']
"['easy ups', 'underjams training underwear', 'bag pampers', 'easy ups training underwear', 'underjams absorbent night']","['Easy Ups', 'UnderJams Training Underwear', 'Bag Pampers', 'Easy Ups Training Underwear', 'UnderJams Absorbent']"
"['gillette razor group', 'venus razor']","['Gillette Razor Group', 'Venus Razor']"
"['high endurance', 'body spray', 'invisible spray']","['High Endurance', 'Body Spray', 'Invisible Spray']"
"['pampers swaddlers', 'baby dry diapers', 'bag pampers swaddlers', 'baby dry diapers']","['Pampers Swaddlers', 'Baby Dry Diapers', 'BAG Pampers Swaddlers']"
"['aussie products', 'aussie shampoo', 'styling products']","['Aussie Products', 'Aussie Shampoo', 'Styling Products']"
"[""burt 's bees kids toothpaste"", ""burt 's bees kids toothpaste""]","[""Burt's Bees Kids Toothpaste""]"
"['tampax pearl', 'pure tampons']","['Tampax Pearl', 'PURE Tampons']"
"['oral-b vitality', 'rechargeable electric toothbrush', 'oral-b vitality', 'rechargeable electric toothbrush']","['Oral-B Vitality', 'Rechargeable Electric Toothbrush']"
"['tide laundry detergent', 'tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'tide detergent']","['TIDE Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
['venus products'],['Venus Products']
"[""burt 's bees adult toothpaste"", ""burt 's bees adult toothpaste""]","[""Burt's Bees Adult Toothpaste""]"
"['tide laundry detergent', 'tide purclean laundry detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']","['Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
"['olay bar/bw/inshwr bdyltn', 'body conditioner', 'body lotion']","['Olay Bar/BW/InShwr BdyLtn', 'Body Conditioner', 'Body Lotion']"
"['olay wen', 'olay facial moisturizer']","['OLAY wen', 'Olay Facial Moisturizer']"
"['bounce/downy sheets', 'bounce/downy wrinkle guard sheets', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']","['Bounce/Downy Sheets', 'Bounce/Downy Wrinkle Guard Sheets', 'Rapid Touch-up', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
"['pantene products', 'gold series collection', 'intense rescue shot']","['Pantene Products', 'Gold Series Collection', 'Intense Rescue Shot']"
"['gillette razor', 'venus products']","['Gillette Razor', 'Venus Products']"
"['herbal essences', 'herbal essences bio', 'styling products', 'ml shampoo']","['Herbal Essences', 'Herbal Essences bio', 'Styling Products', 'mL Shampoo']"
"['rechargeable electric toothbrush', 'rechargeable electric toothbrush']",['Rechargeable Electric Toothbrush']
"['tide pods', 'tide pods', 'tide power pods', 'tide liquid/powder laundry detergent', 'tide pods']","['Tide PODS', 'Tide Power PODS', 'Tide Liquid/Powder Laundry Detergent']"
[],[]
"['oral care', 'fixodent adhesive']","['ORAL CARE', 'Fixodent Adhesive']"
[],[]
['olay facial cleanser'],['Olay Facial Cleanser']
"['prilosec otc products', 'prilosec otc product']",['Prilosec OTC Products']
['waterless products'],['Waterless Products']
"['downy liquid fabric conditioner', 'downy odor', 'fabric conditioner', 'downy wrinkle guard fabric conditioner', 'downy nature blends fabric conditioner', 'downy wrinkle releaser spray', 'downy libre enjuague']","['Downy Liquid Fabric Conditioner', 'Downy Odor', 'Downy Wrinkle Guard Fabric Conditioner', 'Downy Nature Blends Fabric Conditioner', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
"['herbal essences products', 'herbal essences shampoo', 'styling products']","['Herbal Essences Products', 'Herbal Essences Shampoo', 'Styling Products']"
"['gillette ap/do group', 'gillette anti-perspirant']","['Gillette AP/DO Group', 'Gillette Anti-Perspirant']"
"['blue single', 'blue single', 'oikos triple zero products']","['Blue Single', 'Oikos Triple Zero products']"
"['claritin® syrup', ""non-drowsy children 's claritin® syrup""]","['Claritin® Syrup', ""Non-Drowsy Children's Claritin® Syrup""]"
"['non-drowsy claritin® chews', 'non-drowsy claritin® chews']",['Non-Drowsy Claritin® Chews']
"['non-drowsy claritin-d® products', 'non-drowsy claritin-d® product']",['Non-Drowsy Claritin-D® Products']
"['non-drowsy claritin® product', 'non-drowsy claritin®']",['Non-Drowsy Claritin® Product']
"[""children 's claritin chewables"", ""non-drowsy children 's claritin® chewables""]","[""Children's Claritin Chewables"", ""Non-Drowsy Children's Claritin® Chewables""]"
"[""children 's claritin®"", ""children 's claritin®""]","[""Children's Claritin®""]"
"['non-drowsy claritin® liqui-gels®', 'non-drowsy claritin® liqui-gels®']",['Non-drowsy Claritin® Liqui-Gels®']
"['muscle milk', 'pro series protein', '4pk *redeem']","['MUSCLE MILK', 'Pro Series Protein']"
"[""hyland 's restful legs""]","[""'s Restful Legs""]"
"['® products', '® product', '® products']",['® Products']
"['gain laundry detergent', 'gain flings', 'gain liquid laundry detergent', 'essential oils laundry detergent', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Laundry Detergent', 'Gain Flings', 'Gain Liquid Laundry Detergent', 'Essential Oils Laundry Detergent', 'Gain Fabric Enhancers', 'Gain Fireworks']"
['evolve protein'],['Evolve Protein']
"['oi organic cotton panty liners', 'oi organic cotton tampons']","['Oi Organic Cotton Panty Liners', 'Oi Organic Cotton Tampons']"
['clear eyes'],['Clear Eyes']
"['core power high protein', 'package contains']","['Power High Protein', 'Package contains']"
[],[]
['flexitol heel balm'],['Flexitol Heel Balm']
[],[]
"['san pellegrino momenti', 'drinks 6-pack']","['San Pellegrino Momenti', 'Drinks 6-Pack']"
[],[]
['fresh step cat litter'],['Fresh Step Cat Litter']
"['$ .50', 'dapple baby bottle', 'dish soap', 'sweet lavender']","['.50', 'dapple Baby Bottle', 'Dish Soap', 'Sweet Lavender']"
"['gain product', 'gain liquid fabric softener', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']","['Gain Product', 'Gain Liquid Fabric Softener', 'Gain Fireworks', 'Scent Boosters', 'Gain Dryer Sheets', 'Gain Flings', 'Gain Detergent']"
"['gatorade sports drink', 'propel water', 'gatorade 1-qt', 'propel water beverage']","['Gatorade Sports Drink', 'Propel Water', 'Gatorade 1-qt']"
"['colgate® optic', 'white renewal', 'colgate® optic', 'white renewal toothpaste']","['Colgate® Optic', 'White Renewal', 'White Renewal Toothpaste']"
"['’ s sweets chocolate', 'chocolate candy', '’ s sweets chocolate', 'chocolate candy']","['’s Sweets Chocolate Bar', 'Chocolate Candy']"
"['coke 8-pk', ""seagram 's"", ""barq 's"", 'coke 96-oz']","['Coke 8-Pk', ""Seagram's"", ""Barq's""]"
[],[]
"[""hershey 's king candy""]",[]
"['pine-sol® products', 'pine-sol® product']",['Pine-Sol® Products']
"['osteo bi-flex® products', 'osteo bi-flex® product']",['Osteo Bi-Flex® Products']
"['benadryl® product', 'benadryl® 20ct', '4oz product']","['BENADRYL® product', '4oz product']"
"['energizer® batteries', 'energizer® batteries']",['Energizer® Batteries']
"['disposable razors', 'ct. hybrid', 'ct. flex5', 'ct. flex4', 'soleil bella', 'ct. flex3', 'ct. hybrid', 'ct. flex5 hybrid']","['Disposable Razors', 'ct. Flex5', 'ct. Flex4', 'Soleil Bella', 'ct. Flex5 Hybrid']"
"['$ .50', 'post cereal', 'golden crisp', 'box *redeem']","['.50', 'Post Cereal', 'Golden Crisp']"
"['atkins meal', 'day snack', '8.47-10.6 oz']","['Atkins Meal', 'Day Snack', '8.47-10.6 oz']"
"['canada dry ginger ale', '7-up 6-pack']","['Canada Dry Ginger Ale', '7-Up 6-Pack']"
"[""friendly 's ice cream"", 'dairy desserts']","[""Friendly's Ice Cream"", 'Dairy Desserts']"
"['one-a-day vitamins', 'ct. btl']",['ct. btl']
"['hartz ultra guard flea', 'monthly drop treatment', 'tot wght pkg']","['Hartz Ultra Guard Flea', 'monthly drop treatment', 'tot wght pkg']"
['bubbies mochi ice cream mochi'],['Bubbies Mochi Ice Cream Mochi']
['bubbies ice cream cookie dough ice cream bites'],['Bubbies Ice Cream Cookie Dough Ice Cream Bites']
"['special delivery™ diapers', 'special delivery™ diapers']",['Special Delivery™ Diapers']
[],[]
"['pull-ups® training pants', 'pull-ups® training pants']",['-UPS® Training Pants']
"['special delivery™ wipes', 'special delivery™ wipes']",['Special Delivery™ Wipes']
"['pull-ups® training pants', 'pull-ups® training pants']",['-UPS® Training Pants']
"['lipton® tea products', 'lipton® teabags', 'tea mix product']","['Lipton® Tea Products', 'Lipton® TeaBags', 'Tea Mix product']"
['fruit items'],['Fruit Items']
"['bic® razors', 'bic® soleil®', 'bic® flex™', 'bic® comfort 3® hybrid', 'disposable razor pack']","['BIC® Razors', 'BIC® Soleil®', 'BIC® Flex™', 'BIC® Comfort 3® Hybrid', 'Disposable Razor Pack']"
"['bayer aspirin', 'ct. btl']","['Bayer Aspirin', 'ct. btl']"
"['dole® products', 'dole® acai bowl', 'spoonable smoothie']","['Dole® Products', 'Dole® Acai Bowl', 'Spoonable Smoothie']"
"[""reese 's"", ""reese 's""]","[""Reese's""]"
['dollar general location 5/30/20'],['Dollar General Location 5/30/20']
"['purchase $', 'm ’ s® chocolate candies']","['PURCHASE', '’S® Chocolate Candies']"
"['gain flings', 'gain liquid laundry detergent', 'gain powder']","['Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Powder']"
['charmin toilet paper product'],['Charmin Toilet Paper Product']
['coca-cola® single'],['Coca-Cola® single']
['bounty paper towel product'],['Bounty Paper Towel Product']
"['gain liquid fabric enhancer', 'gain fireworks', 'gain sheets']","['Gain Liquid Fabric Enhancer', 'Gain Fireworks', 'Gain Sheets']"
"['gatorade® 32oz', 'gatorade® 32oz', 'max value $']","['Gatorade® 32oz', 'Max Value']"
"['downy liquid fabric enhancer', 'in-wash scent boosters 5.7-6.50 oz', 'downy unstopables', 'downy wrinkleguard']","['Downy Liquid Fabric', 'In-Wash Scent Boosters 5.7-6.50 oz', 'Downy Unstopables', 'Downy WrinkleGuard']"
"['nabisco cookies', '6-20.5 oz']","['NABISCO Cookies', '6-20.5 oz']"
['clean products'],['Clean Products']
['aquafina® 20oz bottle'],['Aquafina® 20oz bottle']
"['tide liquid detergent', 'tide pods']","['Tide Liquid Detergent', 'Tide PODS']"
[],[]
['pure premium® bottle'],['PURE PREMIUM® bottle']
"['dawn ultra', 'dawn platinum powerwash spray', 'dawn platinum foam', 'special value']","['Dawn Ultra', 'Dawn Platinum Powerwash Spray', 'Dawn Platinum Foam', 'Special Value']"
['venus products'],['Venus Products']
"['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']","['Crest Toothpaste', 'oz Crest Cavity', 'Tartar Control/Protection', 'F&amp;W Pep Gleem', 'Gum Detoxify', 'Gum Enamel variants', 'Therapy variants']"
[],[]
['perfect portions™ premium cat food'],['PERFECT PORTIONS™ Premium Cat Food']
['pine-sol® 40oz+'],['Pine-Sol® 40oz+']
['max savings $'],['Max Savings']
['long life'],['Long Life']
